100,5882,202.7759133,581.9245836,2,,,,69,-3.35E+07,1.69E+07,3.99E+08,4511
101,4.00E+07,26826.6421,838713.2528,1,,,,71,-2.87E+08,2.99E+07,3.40E+08,4618
102,1.15E+08,1818032.18,5.05E+07,8,,,,73,-1.85E+09,1998088.952,6.77E+07,4708
103,4.03E+07,4902791.502,1.09E+08,22,,,,76,-2.15E+09,-339100.9055,3.21E+07,4708
104,1.20E+08,25884.5822,1745063.105,1,,,,78,-1.31E+09,4.69E+07,3.75E+08,4683
105,1.93E+09,1.56E+07,1.62E+08,3,,,,82,-3.59E+08,-74227.57944,5228097.85,4708
106,1.28E+09,272079.6899,1.86E+07,1,,,,84,-5.33E+08,4928489.548,9.14E+07,4708
112,1.93E+09,410685.3675,2.82E+07,1,,,,85,-1.23E+09,1.32E+07,2.05E+08,4699
113,2.00E+09,426204.3303,2.92E+07,1,,,,88,-1.39E+09,562243.6606,4.05E+07,4708
114,8.62E+08,221508.0274,1.26E+07,1,,,,89,-8.15E+08,5.95E+07,3.53E+08,4669
115,1.41E+09,5.12E+07,4.75E+08,161,,,,99,-1.42E+09,-52733.66631,2.46E+07,4708
116,1492128,825.0658454,21820.7312,1,,,,107,-1.88E+08,2.48E+07,4.05E+08,4521
120,1.29E+09,549602.2768,2.65E+07,1,,,,108,-4.32E+08,-458827.6744,9.60E+07,4700
121,41050,4.01E+07,4.04E+08,555,,,,117,-2.49E+08,1.03E+07,1.49E+08,4689
122,122,4684454.717,1.18E+08,4216,,,,118,-1.22E+09,6.07E+07,3.98E+08,4695
124,363028,207.7644435,5289.005101,1,,,,119,-5.23E+08,-110842.7188,7617294.542,4708
125,5.48E+08,154577.6213,8201144.519,1,,,,123,-8.98E+08,-190711.7124,1.31E+07,4708
129,1.81E+09,1182812.005,3.23E+07,1,,,,,,,,4656.846154
130,158,120.2790994,34.59307463,30,,,,,,,,
133,5.23E+08,2270980.603,2.64E+07,1,,,,,,,,
138,7.01E+08,487874.4724,2.13E+07,2,,,,,,,,
140,2.09E+07,2036965.211,2.47E+07,103,,,,,,,,
143,40444,2.38E+07,3.42E+08,696,,,,,,,,
